date,company_id,company_name,certification,activity_type,actor,summary,status,source,follow_up
2026-07-21,metro_lecrown,Metro LeCrown,Houston METRO Certification,certification_received,Jessica Huang,LeCrown Development received METRO Certification and renewal date is 2029-07-15,recorded,Gmail message 19f848b56634c415,Save certificate proof to the document portal
2026-07-21,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,certification_started,Jessica Huang,City of Houston certification has been started,next_action,Gmail message 19f848b56634c415,Continue completing COH certification
2026-07-21,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,completion_request,Jessica Huang,Jessica sent a separate request to complete COH certification,next_action,Gmail message 19f849397ab03b33,Keep portal credentials outside tracker files
2026-07-21,metro_lecrown,Metro LeCrown,Houston METRO Certification,document_follow_up,LeCrown tracker,Certificate proof still needs to be saved to the document portal,next_action,Certification tracker,Create or link portal document record
2026-07-22,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,credentials_received,Jessica Huang,COH certification login information received for the same portal URL as METRO but with a separate credential set,next_action,Gmail message 19f849397ab03b33,Store credentials only in .local and continue COH certification
2026-07-24,metro_lecrown,Metro LeCrown,Houston METRO Certification,portal_verified,B2Gnow portal,Portal verifies active SBE certification for LeCrown Development Corporation effective 2026-07-15 renewal 2029-07-15,recorded,B2Gnow VID 20922339,Save certificate proof to the LeCrown document portal and add renewal alerts
2026-07-24,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,portal_status_verified,B2Gnow portal,Portal verifies application 6369689 is incomplete at 52 percent for MBE/WBE/SBE/PDBE New Application,next_action,B2Gnow VID 20922339,Fill in the City of Houston application and identify the missing required sections/documents
2026-07-24,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,document_blockers_extracted,B2Gnow portal,Application 6369689 document tab shows 0 of 13 mandatory documents attached and six incomplete form sections,next_action,B2Gnow CertAppID 1218660,Prepare the 13 mandatory attachments and complete the incomplete sections before signing/submitting
2026-07-28,metro_lecrown,Metro LeCrown,Certification Portfolio,work_queue_refreshed,Certification tracker,Current queue created for COH blockers METRO proof document portal setup federal foundation university readiness and company roster cleanup,next_action,data/certification-work-queue.csv,Work certq-001 through certq-005 first
2026-08-22,metro_lecrown,Metro LeCrown,Houston METRO Certification,drive_proof_found,Google Drive,Recent private PDF upload lecrownSBEMetro.pdf found and recorded as METRO SBE certificate proof,in_progress,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Sync proof into the LeCrown document portal and record portal document ID
2026-08-22,metro_lecrown,Metro LeCrown,Vendor Registrations,registration_packets_staged,Certification tracker,METRO SBE certificate proof was mapped into staged vendor registration packets for METRO UH UT City TDCJ and prime subcontracting routes,staged,data/vendor-registration-packets.csv,Review each external portal entry before submitting and record confirmation IDs
2026-08-22,metro_lecrown,Metro LeCrown,Harris County Bonfire,registration_route_staged,Certification tracker,Harris County Bonfire registration route added and METRO SBE certificate mapped as supporting supplier profile evidence,staged,Harris County Bonfire registration,Stage Bonfire profile with NIGP codes and SBE proof before external submission
2026-08-22,metro_lecrown,Metro LeCrown,Older Opportunity Tracker,registration_routes_reconciled,Certification tracker,Older local-buyer and prime-subcontractor targets were converted into staged registration packets for HCC Lone Star San Jacinto HISD Spring Branch Katy TEA TRS and individual prime routes,staged,data/vendor-registration-packets.csv,Open each portal one at a time and record confirmation IDs or auth-required blockers
2026-08-23,metro_lecrown,Metro LeCrown,Vendor Registrations,registration_route_check_completed,Certification tracker,All vendor registration packets received a non-interactive route check and were connected to an execution log; no external submissions were made,blocked,data/vendor-registration-execution-log.csv,Complete private company intake and authenticate portal sessions before submission
