packet_id,buyer_id,buyer_name,portal_or_route,company_id,status,primary_registration_action,uses_metro_sbe_certificate,certificate_evidence,other_required_inputs,submission_boundary,next_action,owner,due_date,source_reference,notes
vrp-metro-ariba,houston_metro,Metropolitan Transit Authority of Harris County METRO,SAP Ariba vendor registration,metro_lecrown,blocked_auth_required,Update or verify vendor profile and add active METRO SBE certification details,yes,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,TIN/EIN; general contact information; year founded; NIGP codes; commodity categories; capability statement,Stage only; submit profile changes after confirmation.,Authenticate to METRO SAP Ariba and complete company/certification fields once private intake data is available.,Benjamin/Jie,2026-08-24,METRO FAQ and procurement opportunities page,METRO says SAP Ariba registration uses small business certification dates if applicable and NIGP codes for notifications.
vrp-metro-govspend,houston_metro,Metropolitan Transit Authority of Harris County METRO,GovSpend small purchases,metro_lecrown,blocked_auth_required,Use METRO SBE proof and NIGP/commodity categories to improve small-purchase matching,yes,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,GovSpend account; commodity filters; NAICS/NIGP list; capability statement,Stage filters/profile; submit only after account verification.,Authenticate to GovSpend and verify account/profile filters before submitting profile changes.,Benjamin,2026-08-25,METRO FAQ and procurement opportunities page,METRO says GovSpend continues to function alongside SAP Ariba.
vrp-metro-assessment,houston_metro,Metropolitan Transit Authority of Harris County METRO,METRO SBE business assessment,metro_lecrown,blocked_missing_intake,Use active SBE proof to complete the business assessment and request targeted procurement guidance,yes,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Capability statement; services; NIGP codes; current procurement targets; capacity notes,Stage responses; submit after review.,"Complete capability statement, NAICS/NIGP, and capacity answers before submitting the METRO assessment.",Benjamin/Jie,2026-08-25,METRO procurement opportunities page,Assessment is for competing effectively in procurement.
vrp-uh-vendor-profile,university_of_houston,University of Houston,UH vendor setup and ESBD/CMBL readiness,metro_lecrown,blocked_missing_cmbl_intake,Keep METRO SBE proof in the vendor packet while CMBL and UH vendor setup are verified,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,CMBL status; company profile; NIGP codes; W-9; payment setup data if requested; capability statement,Do not submit sensitive payment/tax data without portal confirmation.,Verify CMBL and complete private company intake before UH vendor/profile setup.,Benjamin,2026-08-26,UH vendor resources page,UH points vendors to CMBL for solicitation lists; METRO SBE is supporting evidence but does not replace CMBL.
vrp-ut-vendor-profile,ut_austin,University of Texas at Austin,UT Bonfire and Vendor Management profile,metro_lecrown,blocked_auth_required,Use METRO SBE proof as supplier-diversity support where UT profile asks for small-business certifications,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Bonfire account; CMBL status; VID/PIF data if selected; capability statement; applicable certifications,Stage profile evidence; do not submit VID/PIF or tax/payment data without confirmation.,Authenticate to UT Bonfire/vendor portal and complete profile after private intake review.,Benjamin,2026-08-26,UT procurement and small business pages,UT vendor registration still needs its own portal/profile data.
vrp-city-beaconbid,city_of_houston,City of Houston,BeaconBid and Strategic Purchasing vendor registration,metro_lecrown,blocked_auth_required,Use METRO SBE proof as related certification support while City OBO and Strategic Purchasing proof remain separate,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,BeaconBid supplier account; City Strategic Purchasing proof; City OBO application documents; W-9 if requested; commodity categories,Stage only; City OBO submission requires separate review before signing/submitting.,Authenticate to BeaconBid/City portal and complete profile only after City OBO blockers are separated.,Benjamin/Jie,2026-08-26,City of Houston and B2Gnow tracker evidence,METRO SBE supports credibility but does not complete City OBO application 6369689.
vrp-harris-county-bonfire,harris_county,Harris County,Harris County Bonfire supplier registration,metro_lecrown,blocked_missing_intake,Register or verify Harris County Bonfire profile and add METRO SBE proof where certification evidence is requested,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Bonfire account; company profile; contact email; NIGP/commodity code selections; capability statement; W-9/vendor setup only after award or request,Stage only; submit Bonfire registration/profile changes after review.,Complete company intake and then submit Harris County Bonfire registration/profile after review.,Benjamin/Jie,2026-08-26,https://purchasing.harriscountytx.gov/,Official purchasing homepage says Bonfire manages suppliers and online bids/proposals; registration is open and free; notifications depend on selected NIGP codes; METRO SBE is supporting certification evidence only.
vrp-hcc-bonfire,hcc,Houston City College / Houston Community College,HCC Bonfire bidder registration,metro_lecrown,blocked_missing_intake,Create or verify HCC Bonfire bidder profile and add METRO SBE as recognized small-business support where accepted,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Bonfire account; company profile; bid contact; NIGP/category selections; capability statement; W-9; conflict-of-interest form if requested,Stage only; submit or update Bonfire registration after profile review.,Complete company intake and then submit HCC Bonfire bidder registration after review.,Benjamin/Jie,2026-08-28,https://www.hccs.edu/about-us/departments--offices/procurement-operations/,Older tracker target; HCC procurement page links Register as a Bidder and HCC SBDP says vendors should register in the HCC Bonfire portal.
vrp-lone-star-ebid,lone_star_college,Lone Star College System,LSCS e-bid and iStar supplier registration,metro_lecrown,blocked_missing_intake,Create or verify LSCS web-based e-bid profile and supplier registration,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Bidder account; supplier account; company profile; commodity/category selections; capability statement; W-9/payment data only if requested,Stage only; do not submit tax/payment data without portal confirmation.,Complete company intake and then submit LSCS e-bid/iStar registration after route review.,Benjamin/Jie,2026-08-29,https://www.lonestar.edu/purchasing.htm,Older tracker target; LSCS says the e-bid system is free and sends bid notifications to registered vendors.
vrp-san-jacinto-ebid,san_jacinto_college,San Jacinto College,San Jacinto e-bidding vendor profile,metro_lecrown,blocked_missing_intake,Create or verify San Jacinto e-bidding profile and save registration evidence,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,E-bidding account; company profile; contact email; category selections; capability statement; certification proof if requested,Stage only; submit profile after portal review.,Complete company intake and then submit San Jacinto e-bidding profile after review.,Benjamin/Jie,2026-08-29,https://www.sanjac.edu/information-for/business-partners/doing-business-with-san-jac/,Older tracker target; San Jacinto directs vendors to register in its e-bidding system to find and submit solicitations.
vrp-hisd-ionwave,hisd,Houston Independent School District,HISD IonWave E-Bidding registration,metro_lecrown,blocked_auth_required,Create or verify HISD IonWave profile and commodity code selections,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,IonWave account; company profile; commodity codes; capability statement; certification proof if requested,Stage only; submit registration after account/profile review.,Authenticate to HISD IonWave and complete profile after private intake review.,Benjamin/Jie,2026-08-30,https://www.houstonisd.org/community-partnerships/purchasing-services,Older tracker target; HISD says all vendors who wish to respond to solicitations must register in IonWave.
vrp-spring-branch-vendor,spring_branch_isd,Spring Branch ISD,SBISD vendor registration route,metro_lecrown,blocked_route_or_auth_required,Verify current SBISD registration route and create or update vendor profile once portal access is confirmed,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Company profile; W-9; EFT authorization if requested; conflict-of-interest questionnaire; certificate of insurance if required; capability statement,Stop at route/login verification; SBISD page directs vendors to Purchasing for assistance.,Verify current SBISD registration route with Purchasing before submitting any profile.,Benjamin/Jie,2026-08-30,https://www.springbranchisd.com/o/fs/page/vendor-registration,Older tracker target; current public page does not expose a direct universal registration form.
vrp-katy-opengov,katy_isd,Katy Independent School District,Katy ISD OpenGov and VSS registration,metro_lecrown,blocked_auth_required,Create or verify Katy ISD OpenGov supplier profile and separate VSS payment registration readiness,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,OpenGov account; category selections; company profile; capability statement; W-9/Debarment/HB89/SB252 only for VSS payment setup,Stage OpenGov profile; do not submit payment setup documents without need/approval.,Authenticate to OpenGov and verify prior Katy invitation before profile submission; keep VSS payment setup separate.,Benjamin/Jie,2026-08-30,https://www.katyisd.org/purchasing/bid-proposal-opportunities,Older tracker target; Katy says OpenGov registration is free for solicitation notifications and VSS is used for payment setup.
vrp-tea-bonfire,tea,Texas Education Agency,TEA Euna/Bonfire supplier registration,metro_lecrown,blocked_auth_required,Create or verify TEA Bonfire account and track opportunity-specific response readiness for TEA 701-series solicitations,conditional,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,Bonfire account; company profile; NIGP codes; ESBD saved searches; capability statement; solicitation-specific forms,Stop at account/login and draft response packets; no TEA response submission without explicit approval.,Authenticate to TEA Bonfire and verify NIGP setup; no opportunity response without approval.,Benjamin,2026-08-28,https://tea.texas.gov/about-tea/agency-finances/contracts-and-purchasing/contracts-and-purchasing,Older tracker referenced TEA 701-26-013; official TEA page says NIGP codes are important for notifications and Euna/Bonfire support handles password/account issues.
