company_id,company_name,certification,status,current_gate,next_action,owner,due_date,evidence,source_url,maintenance_rule,notes
metro_lecrown,Metro LeCrown,SAM.gov Entity Registration,not_verified,Need active entity registration UEI and renewal date,Work certq-007: log into SAM.gov and capture current entity status,Benjamin,2026-08-05,TBD,https://sam.gov/entity-registration,Renew every 365 days,
metro_lecrown,Metro LeCrown,MySBA Certifications Account,not_started,Need account access and eligibility questionnaires,Work certq-008: create or access MySBA Certifications and run eligibility checks,Benjamin,2026-08-07,TBD,https://certifications.sba.gov/,Keep portal access current,
metro_lecrown,Metro LeCrown,WOSB / EDWOSB,candidate,Need ownership control and financial eligibility verified,Use MySBA results to decide whether WOSB or EDWOSB is the active lane,Benjamin/Jie,2026-08-07,output/pdf/PNW_Jie_Huang_FINAL.pdf,https://www.sba.gov/federal-contracting/contracting-assistance-programs/women-owned-small-business-federal-contract-program,Track anniversary and three-year examination,
metro_lecrown,Metro LeCrown,8(a) Business Development,candidate,Need readiness and eligibility verified,Use MySBA results to decide whether 8(a) is ready or should wait,Benjamin/Jie,2026-08-07,PNW files tax ownership docs,https://www.sba.gov/federal-contracting/contracting-assistance-programs/8a-business-development-program,Track annual review,
metro_lecrown,Metro LeCrown,HUBZone,eligibility_unknown,Need principal office and employee residency check,Use MySBA/HUBZone checks to classify eligible not eligible or needs data,Benjamin,2026-08-07,Address list,https://www.sba.gov/federal-contracting/contracting-assistance-programs/hubzone-program,Track three-year recertification,
metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,in_progress_application_incomplete,Portal verified application 6369689 is incomplete at 52 percent with 0 of 13 mandatory documents attached,Work certq-001 through certq-003: complete six incomplete sections and prepare the 13 mandatory document uploads,Benjamin/Jie,2026-07-31,B2Gnow VID 20922339; Gmail message 19f849397ab03b33,https://houston.mwdbe.com/,Track expiration and renewal date after approval,Portal login verified without storing credentials; B2Gnow shows application started 2026-06-07 with Jie Huang as contact and deletion date 2026-09-12.
metro_lecrown,Metro LeCrown,Houston METRO Certification,certified_drive_proof_found,Portal verified active SBE certification effective 2026-07-15 renewal due 2029-07-15; Drive proof found 2026-08-22,Work certq-004: sync Google Drive certificate proof into the LeCrown document portal and record portal document ID,Benjamin/Jie,2026-08-24,B2Gnow VID 20922339; Gmail message 19f848b56634c415; Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,https://ridemetro.sbdbe.com/,Renew before 2029-07-15,Jessica email and B2Gnow portal verify LeCrown Development Corporation has active Houston METRO SBE certification; Drive file title is lecrownSBEMetro.pdf.
metro_lecrown,Metro LeCrown,Texas HUB,candidate,Need eligibility and application route confirmation,Confirm eligibility and start application packet,Benjamin,TBD,TBD,TBD,Track expiration and renewal date,
metro_lecrown,Metro LeCrown,TxDOT DBE / ACDBE,candidate,Need target opportunity fit decision,Decide whether transportation work is a real pursuit lane,Benjamin,TBD,TBD,TBD,Track expiration and renewal date,
company_2,TBD Company 2,SAM.gov Entity Registration,placeholder,Need legal/entity details,Add company to roster and confirm SAM.gov status,TBD,TBD,TBD,https://sam.gov/entity-registration,Renew every 365 days,
company_3,TBD Company 3,SAM.gov Entity Registration,placeholder,Need legal/entity details,Add company to roster and confirm SAM.gov status,TBD,TBD,TBD,https://sam.gov/entity-registration,Renew every 365 days,
