document_id,document_name,document_category,scope,reusable_across,typical_refresh_cycle,status,owner,current_path,sensitive,notes
formation_certificate,Formation certificate or certificate of filing,entity_identity,company,"SAM.gov; CMBL; city/vendor setup; university vendor setup; certifications",when_entity_changes,missing,Benjamin,TBD,no,
ein_confirmation,EIN/TIN confirmation letter or IRS proof,entity_identity,company,"SAM.gov; W-9; vendor setup; payment setup",when_entity_changes,missing_private,Benjamin,.local/,yes,Track storage location only if private.
w9,W-9,entity_identity,company,"City of Houston; UH; UT; METRO; TDCJ; vendor/payment setup",annual_or_when_tax_info_changes,missing_private,Benjamin,.local/,yes,
operating_agreement,Operating agreement bylaws or shareholder agreement,ownership_control,company,"WOSB; EDWOSB; 8(a); City OBO; METRO SBE/DBE; Texas HUB/VetHUB",when_entity_changes,missing,Benjamin,TBD,maybe,
ownership_schedule,Ownership schedule or cap table,ownership_control,company,"WOSB; EDWOSB; 8(a); OBO; SBE/DBE; HUB/VetHUB",when_ownership_changes,missing_private,Benjamin/Jie,.local/,yes,
officer_titles,Officer title and management-control proof,ownership_control,company,"WOSB; EDWOSB; 8(a); OBO; SBE/DBE; HUB/VetHUB",when_roles_change,missing,Benjamin/Jie,TBD,no,
owner_resumes,Owner officer and key personnel resumes,experience,owner_or_company,"City OBO; METRO SBE/DBE; 8(a); WOSB/EDWOSB; proposals",quarterly_or_when_experience_changes,missing,Benjamin/Jie,TBD,no,
capability_statement,One-page capability statement,marketing_bid_readiness,company,"SAM.gov DSBS; CMBL; UH; UT; METRO; City of Houston; TDCJ; primes",quarterly,missing,Benjamin,TBD,no,
naics_nigp_codes,NAICS and NIGP commodity-code list,classification,company,"SAM.gov; CMBL; ESBD; BeaconBid; OpenGov; Bonfire; GovSpend",quarterly_or_when_services_change,missing,Benjamin,TBD,no,
sam_uei_cage,SAM.gov UEI and CAGE proof,federal_registration,company,"Federal bids; 8(a); WOSB/EDWOSB; HUBZone; universities; state/local buyers may ask",annual_renewal,missing_private,Benjamin,.local/,yes,
cmbl_profile,CMBL registration proof,state_vendor_registration,company,"State of Texas; UH; UT; TDCJ; Texas public buyers",annual,missing,Benjamin,TBD,no,
