queue_id,priority,status,company_id,company_name,certification,workstream,next_action,owner,due_date,source,evidence_or_tracker_link,blocker,definition_of_done
certq-001,critical,active,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,coh_document_packet,"Build the application 6369689 document packet inventory from the 13 mandatory attachments and mark each item found missing or private.",Benjamin/Jie,2026-07-31,B2Gnow CertAppID 1218660,data/document-portal-map.csv,"0 of 13 mandatory documents attached in B2Gnow.","Every mandatory document has a tracker row with source_of_truth storage_status owner and upload decision."
certq-002,critical,active,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,coh_application_sections,"Complete the six incomplete B2Gnow form sections starting with Section 3 Ownership.",Benjamin/Jie,2026-07-31,B2Gnow application 6369689,data/certification-steps.csv,"Application is incomplete at 52 percent and cannot be signed or submitted.","B2Gnow shows all required form sections complete before document upload and signature."
certq-003,high,active,metro_lecrown,Metro LeCrown,City of Houston OBO M/WBE or SBE,strategic_purchasing_registration,"Locate or create City of Houston Strategic Purchasing vendor/supplier registration proof.",Benjamin/Jie,2026-07-31,B2Gnow CertAppID 1218660,data/buyer-certification-requirements.csv,"Strategic Purchasing proof is one of the mandatory COH attachments.","Proof is saved or linked in the tracker and ready for B2Gnow upload."
certq-004,high,in_progress,metro_lecrown,Metro LeCrown,Houston METRO Certification,certification_proof,"Sync the Google Drive METRO SBE certificate proof into the LeCrown document portal and record the portal document ID.",Benjamin/Jie,2026-08-24,"Google Drive file 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi; B2Gnow VID 20922339",data/document-portal-map.csv,"Drive proof exists but the LeCrown portal document ID is still missing.","Portal document ID is recorded and renewal date 2029-07-15 is tracked."
certq-005,high,active,metro_lecrown,Metro LeCrown,All,document_portal_setup,"Verify or create portal project metro-lecrown-certification-tracker before uploading sensitive records.",Benjamin,2026-08-02,LeCrown document portal,data/document-storage-locations.csv,"Upload target is defined but portal project/document IDs are still TBD.","Portal project exists and document-portal-map rows have project and first document IDs."
certq-006,medium,active,metro_lecrown,Metro LeCrown,All,capability_statement,"Finish Metro LeCrown master capability statement and export the first one-page PDF.",Benjamin,2026-08-03,Certification tracker,data/capability-statements.csv,"Capability statement is still draft and blocks buyer/vendor profiles.","Master PDF exists and is mapped for portal upload."
certq-007,medium,active,metro_lecrown,Metro LeCrown,SAM.gov Entity Registration,federal_foundation,"Log into SAM.gov and record entity registration status UEI CAGE if assigned and renewal date.",Benjamin,2026-08-05,SAM.gov,data/company-certifications.csv,"Federal registration status is not verified.","Tracker contains current SAM status and renewal rule without sensitive bank or tax values."
certq-008,medium,queued,metro_lecrown,Metro LeCrown,MySBA Certifications Account,federal_foundation,"Create or access MySBA Certifications and run WOSB EDWOSB 8(a) and HUBZone eligibility checks.",Benjamin/Jie,2026-08-07,MySBA Certifications,data/certification-steps.csv,"Eligibility path is unknown until MySBA questionnaires are run.","Questionnaire outcomes are recorded and one federal submission lane is selected."
certq-009,medium,queued,metro_lecrown,Metro LeCrown,University buyer readiness,buyer_requirements,"Verify CMBL status and prepare UH and UT vendor profile data from the reusable document list.",Benjamin,2026-08-07,UH and UT buyer requirement rows,data/buyer-certification-requirements.csv,"University buyer requirements exist but have not been worked into a bid-ready packet.","CMBL status is known and UH/UT required profile documents are mapped."
certq-010,medium,queued,all,All companies,Portfolio onboarding,company_roster,"Replace placeholder companies with legal entity details or mark them paused.",Benjamin,2026-08-09,Certification tracker,data/companies.csv,"Multiple companies are expected but only Metro LeCrown is active in the tracker.","Every company is active with intake rows or intentionally paused with a reason."
certq-011,high,active,metro_lecrown,Metro LeCrown,Vendor registrations,vendor_registration_packets,"Use the METRO SBE certificate in staged vendor-registration packets for Harris County Bonfire METRO Ariba GovSpend METRO assessment UH UT City TDCJ HCC Lone Star San Jacinto HISD Spring Branch Katy TEA TRS and prime subcontracting routes.",Benjamin/Jie,2026-08-27,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,data/vendor-registration-packets.csv,"Profiles can use the certificate but each external portal still needs review before submit.","Each relevant vendor route has a staged packet and any submitted portal changes have confirmation IDs recorded."
certq-012,high,active,metro_lecrown,Metro LeCrown,Older opportunity tracker reconciliation,opportunity_tracker_sync,"Open each staged packet from the older opportunity tracker and either create/update registration after approval or record auth-required blocked status.",Benjamin/Jie,2026-09-01,"docs/government-contracting-action-plan-2026-07-28.md; docs/apex-subcontracting-homework-2026-08-10.md",data/vendor-registration-packets.csv,"HCC Lone Star San Jacinto HISD Spring Branch Katy TEA TRS and six prime routes were identified but external submissions are not yet confirmed.","Every older tracker target is marked submitted with confirmation ID evidence or blocked/deferred with reason."
certq-013,critical,active,metro_lecrown,Metro LeCrown,Vendor registration intake,private_company_profile,"Fill the private company registration profile needed by buyer portals: EIN physical and mailing address legal formation data primary contact ownership/officer details NAICS/NIGP SAM UEI and capability-statement PDF.",Benjamin/Jie,2026-08-24,data/company-intake.csv,data/vendor-registration-execution-log.csv,"All registration routes are connected but submissions are blocked by missing private intake or authenticated portal sessions.","A private registration profile exists outside tracked CSVs and each packet can be submitted or intentionally deferred."
