certification,phase,step,status,owner,due_date,evidence,source_url,notes
SAM.gov,registration,Confirm legal business name and physical address,not_started,Benjamin,2026-08-05,TBD,https://sam.gov/entity-registration,
SAM.gov,registration,Confirm EIN/TIN and entity details,not_started,Benjamin,2026-08-05,TBD,https://sam.gov/entity-registration,
SAM.gov,registration,Confirm bank account details for EFT,not_started,Benjamin,2026-08-05,TBD,https://sam.gov/entity-registration,
SAM.gov,registration,Confirm primary and secondary NAICS codes,not_started,Benjamin,2026-08-05,TBD,https://sam.gov/entity-registration,
SAM.gov,registration,Register or renew entity,not_started,Benjamin,2026-08-05,TBD,https://sam.gov/entity-registration,
SAM.gov,registration,Record Unique Entity ID and CAGE code,not_started,Benjamin,2026-08-05,TBD,https://sam.gov/entity-registration,
SAM.gov,maintenance,Record annual renewal deadline,not_started,Benjamin,TBD,TBD,https://sam.gov/entity-registration,SAM.gov registration must be renewed every 365 days.
MySBA Certifications,setup,Create or access account,not_started,Benjamin,2026-08-07,TBD,https://certifications.sba.gov/,
MySBA Certifications,setup,Add business profile,not_started,Benjamin,2026-08-07,TBD,https://certifications.sba.gov/,
MySBA Certifications,eligibility,Run WOSB/EDWOSB questionnaire,not_started,Benjamin/Jie,2026-08-07,TBD,https://certifications.sba.gov/,
MySBA Certifications,eligibility,Run 8(a) questionnaire,not_started,Benjamin/Jie,2026-08-07,TBD,https://certifications.sba.gov/,
MySBA Certifications,eligibility,Run HUBZone questionnaire,not_started,Benjamin,2026-08-07,TBD,https://certifications.sba.gov/,
WOSB/EDWOSB,eligibility,Confirm at least 51 percent women-owned,not_started,Benjamin/Jie,2026-08-07,TBD,https://www.sba.gov/federal-contracting/contracting-assistance-programs/women-owned-small-business-federal-contract-program,
WOSB/EDWOSB,eligibility,Confirm qualifying woman owner controls daily operations and long-term decisions,not_started,Benjamin/Jie,2026-08-07,TBD,https://www.sba.gov/federal-contracting/contracting-assistance-programs/women-owned-small-business-federal-contract-program,
WOSB/EDWOSB,eligibility,Confirm EDWOSB financial eligibility if pursuing EDWOSB,not_started,Benjamin/Jie,2026-08-07,output/pdf/PNW_Jie_Huang_FINAL.pdf,https://www.sba.gov/federal-contracting/contracting-assistance-programs/women-owned-small-business-federal-contract-program,
