buyer_id,buyer_name,requirement_name,requirement_type,applies_to_company_id,priority,status,process_summary,required_evidence_or_data,source_url,next_action,owner,due_date,notes
university_of_houston,University of Houston,CMBL registration,state_vendor_registration,all,recommended,not_started,"Register or verify Centralized Master Bidders List profile so Texas purchasing entities can find the vendor and send bid notices.","Company profile; NIGP/commodity codes; current email; annual fee",https://comptroller.texas.gov/purchasing/vendor/cmbl/,Verify Metro LeCrown CMBL status,Benjamin,2026-06-28,"CMBL annual registration fee is listed as $70 on the Comptroller page."
university_of_houston,University of Houston,ESBD bid monitoring,bid_source,all,recommended,not_started,"Monitor UH current bid opportunities through the Comptroller Electronic State Business Daily link from UH's formal procurement page.","Search terms; commodity codes; saved opportunity links",https://www.uh.edu/office-of-finance/purchasing/vendor-resources/formal-procurement-solicitations/,Create saved UH ESBD search routine,Benjamin,2026-06-28,
university_of_houston,University of Houston,UH vendor setup,payment_vendor_setup,selected_vendor,required_after_award,not_started,"Use UH Accounts Payable and Vendor Setup process when UH needs vendor/payment setup.","Payee/vendor information; tax data; EFT data when requested",https://www.uh.edu/office-of-finance/purchasing/vendor-resources/ap-vendor-setup/,Prepare vendor setup packet without storing sensitive data in CSV,Benjamin,2026-07-01,
university_of_houston,University of Houston,METRO SBE certificate as supporting vendor evidence,supplier_profile,all,conditional,staged_supporting,"Keep active METRO SBE proof in the UH packet when a profile or opportunity asks for certification evidence.","METRO SBE certificate proof; capability statement; CMBL status",https://www.uh.edu/office-of-finance/purchasing/vendor-resources/,Use Drive-backed METRO SBE proof only if UH vendor profile asks for certifications,Benjamin,2026-08-26,"Certificate evidence: Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi."
university_of_houston,University of Houston,Certificate of Interested Parties Form 1295,disclosure,selected_contract,conditional,not_started,"Complete online Texas Ethics Commission Form 1295 when contract value or Board approval trigger applies.","Interested parties disclosure; contract details",https://www.uh.edu/office-of-finance/purchasing/vendor-resources/certificate/index.php,Add Form 1295 readiness to close checklist,Benjamin,2026-07-01,"UH says contracts valued at $1M+ or otherwise requiring Board approval require Form 1295."
ut_austin,University of Texas at Austin,Bonfire vendor portal,bid_portal,all,recommended,not_started,"Monitor UT Austin bid opportunities in Bonfire and planning/design/construction sources where relevant.","Vendor account; commodity interests; alert settings",https://procurement.utexas.edu/affiliated-subunits/vendor-management-office/vendor-portal,Create or verify Bonfire vendor profile,Benjamin,2026-06-28,
ut_austin,University of Texas at Austin,VID/PIF vendor identification,payment_vendor_setup,selected_vendor,required_after_award,not_started,"Prepare UT Vendor Identification and Payee Information Form data for vendor onboarding/payment.","TIN/EIN; mailing/permanent address; contact email; formation date; phone; status fields",https://procurement.utexas.edu/vendor-identification-vid-section,Prepare UT PIF/VID data packet,Benjamin,2026-07-01,"Do not email PIF/EFT forms per UT page; follow UT upload/DocuSign routing."
ut_austin,University of Texas at Austin,VetHUB / Small Business participation tracking,supplier_diversity,all,recommended,not_started,"UT tracks VetHUB participation and lists SB/SDB/8(a)/WOSB/HUBZone/SDVOSB categories for small business goals and subcontracting.","Applicable certifications; subcontracting plan data; company capability statement",https://procurement.utexas.edu/affiliated-subunits/vendor-management-office/small-business,Map company certifications to UT small business categories,Benjamin,2026-06-30,
ut_austin,University of Texas at Austin,METRO SBE certificate as supplier-diversity support,supplier_diversity,all,conditional,staged_supporting,"Use active METRO SBE proof where Bonfire or UT supplier profile requests certification evidence.","METRO SBE certificate proof; capability statement; CMBL status; vendor profile data",https://procurement.utexas.edu/affiliated-subunits/vendor-management-office/small-business,Stage METRO SBE proof for UT profile and submit only after profile review,Benjamin,2026-08-26,"Certificate evidence: Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi."
ut_austin,University of Texas at Austin,UT Austin Subcontracting Plan / PAR,supplier_diversity_reporting,selected_opportunity,opportunity_specific,not_started,"For UT RFQ/RFP/ITB or generated orders where required use UT SP/SP-A/PAR forms and B2Gnow workflow.","Subcontracting Plan; Progress Assessment Report; subcontractor data",https://procurement.utexas.edu/affiliated-subunits/vendor-management-office/resources,Add SP/PAR readiness to proposal checklist,Benjamin,2026-07-01,
state_of_texas,State of Texas,CMBL registration,state_vendor_registration,all,recommended,not_started,"Maintain CMBL profile so state purchasing entities can find the vendor based on products/services.","Company profile; commodity codes; email; annual fee",https://comptroller.texas.gov/purchasing/vendor/cmbl/,Add CMBL row to each active company,Benjamin,2026-06-28,
state_of_texas,State of Texas,VetHUB certification,state_certification,eligible_sdv_owned_company,conditional,not_started,"If a company is service-disabled veteran owned, apply through the free VetHUB process and maintain directory profile.","Proof of 51 percent ownership/control; service-disabled veteran status; Texas principal place of business; for-profit and size standard evidence",https://comptroller.texas.gov/purchasing/vendor/hub/certification-process.php,Determine whether any company is VetHUB eligible,Benjamin,2026-06-30,"Current Texas Comptroller page labels this program Veteran Heroes United in Business."
city_of_houston,City of Houston,BeaconBid supplier account,bid_portal,all,required,not_started,"Use BeaconBid for City of Houston solicitations and electronic bid responses. Do not store tokenized solicitation links in tracked files.","Supplier account; company profile; bid contact; commodity interests",https://www.beaconbid.com/solicitations/city-of-houston,Verify supplier login and notification settings,Benjamin,2026-06-28,"Source Gmail messages: 19efe3a96bb5b8bc and related BeaconBid reminders."
city_of_houston,City of Houston,METRO SBE certificate as related certification support,supplier_profile,all,conditional,staged_supporting,"Keep active METRO SBE proof in the BeaconBid/Strategic Purchasing packet as related certification support.","METRO SBE certificate proof; commodity categories; City Strategic Purchasing proof; City OBO status",https://www.beaconbid.com/solicitations/city-of-houston,Stage METRO SBE proof but do not treat it as City OBO certification,Benjamin/Jie,2026-08-26,"Certificate evidence: Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi."
city_of_houston,City of Houston,Strategic Purchasing vendor/supplier registration,vendor_registration,all,required,not_started,"Confirm proof of City of Houston vendor/supplier registration for certification and bid readiness.","Vendor/supplier registration proof",TBD,Locate proof of Strategic Purchasing registration,Benjamin/Jie,2026-06-28,"Listed as missing in Gmail message 19eaa667118e12c2."
