attempt_date,packet_id,buyer_id,buyer_name,portal_or_route,attempt_type,route_check_result,registration_result,blocker,next_action,evidence_reference,notes
2026-08-23,vrp-metro-ariba,houston_metro,Metropolitan Transit Authority of Harris County METRO,SAP Ariba vendor registration,non_interactive_route_check,official METRO procurement page reachable; Ariba profile requires authenticated supplier access,not_submitted,auth_required,Authenticate to METRO SAP Ariba and complete company/certification fields once private intake data is available.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-metro-govspend,houston_metro,Metropolitan Transit Authority of Harris County METRO,GovSpend small purchases,non_interactive_route_check,GovSpend route is account based,not_submitted,auth_required,Authenticate to GovSpend and verify account/profile filters before submitting profile changes.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-metro-assessment,houston_metro,Metropolitan Transit Authority of Harris County METRO,METRO SBE business assessment,non_interactive_route_check,METRO assessment route is public but needs reviewed business/capacity answers,not_submitted,missing_intake_and_review,"Complete capability statement, NAICS/NIGP, and capacity answers before submitting the METRO assessment.",data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-uh-vendor-profile,university_of_houston,University of Houston,UH vendor setup and ESBD/CMBL readiness,non_interactive_route_check,UH procurement and ESBD pages reachable,not_submitted,missing_cmbl_and_private_intake,Verify CMBL and complete private company intake before UH vendor/profile setup.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-ut-vendor-profile,ut_austin,University of Texas at Austin,UT Bonfire and Vendor Management profile,non_interactive_route_check,UT Bonfire portal reachable,not_submitted,auth_required,Authenticate to UT Bonfire/vendor portal and complete profile after private intake review.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-city-beaconbid,city_of_houston,City of Houston,BeaconBid and Strategic Purchasing vendor registration,non_interactive_route_check,City OBO portal reachable; BeaconBid route rejects simple HTTP check but is known from tracker,not_submitted,auth_required,Authenticate to BeaconBid/City portal and complete profile only after City OBO blockers are separated.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-harris-county-bonfire,harris_county,Harris County,Harris County Bonfire supplier registration,non_interactive_route_check,Harris County Bonfire opportunity portal reachable; registration URL redirects in browser-style flow,not_submitted,missing_private_intake_or_account,Complete company intake and then submit Harris County Bonfire registration/profile after review.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-hcc-bonfire,hcc,Houston City College / Houston Community College,HCC Bonfire bidder registration,non_interactive_route_check,HCC procurement and Bonfire opportunity portal reachable,not_submitted,missing_private_intake_or_account,Complete company intake and then submit HCC Bonfire bidder registration after review.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-lone-star-ebid,lone_star_college,Lone Star College System,LSCS e-bid and iStar supplier registration,non_interactive_route_check,Lone Star purchasing page reachable,not_submitted,missing_private_intake_or_account,Complete company intake and then submit LSCS e-bid/iStar registration after route review.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
2026-08-23,vrp-san-jacinto-ebid,san_jacinto_college,San Jacinto College,San Jacinto e-bidding vendor profile,non_interactive_route_check,San Jacinto vendor page and PlanetBids portal reachable,not_submitted,missing_private_intake_or_account,Complete company intake and then submit San Jacinto e-bidding profile after review.,data/vendor-registration-packets.csv; data/buyers.csv,No external portal submission was made in this pass.
