buyer_id,buyer_name,buyer_type,region,procurement_portal,bid_source,supplier_diversity_source,primary_certification_gates,status,next_action,owner,due_date,notes
university_of_houston,University of Houston,university,Houston TX,https://www.uh.edu/office-of-finance/purchasing/,https://www.uh.edu/office-of-finance/purchasing/vendor-resources/formal-procurement-solicitations/,https://www.txsmartbuy.gov/esbd,"CMBL; ESBD; vendor setup; Form 1295 when applicable",seeded,Verify CMBL status and monitor UH ESBD listings,Benjamin,2026-06-28,
ut_austin,University of Texas at Austin,university,Austin TX,https://procurement.utexas.edu/affiliated-subunits/vendor-management-office/vendor-portal,https://utexas.bonfirehub.com/portal/?tab=openOpportunities,https://procurement.utexas.edu/affiliated-subunits/vendor-management-office/small-business,"Bonfire; VID/PIF; CMBL; VetHUB/SB as applicable; SP/PAR when required",seeded,Register/monitor Bonfire and prepare VID/PIF data,Benjamin,2026-06-28,
city_of_houston,City of Houston,city,Houston TX,https://www.beaconbid.com/solicitations/city-of-houston,https://www.beaconbid.com/solicitations/city-of-houston,https://houston.mwdbe.com/FrontPage/VendorMain.asp,"BeaconBid supplier registration; City of Houston Strategic Purchasing vendor/supplier registration; OBO M/WBE or SBE when applicable",found_in_gmail,Verify BeaconBid supplier account and City Strategic Purchasing vendor registration,Benjamin,2026-06-28,"Found from RFQs/VendorDev Gmail messages 19efe3a96bb5b8bc and 19eaa667118e12c2."
harris_county,Harris County,county,Harris County TX,https://harriscountytx.bonfirehub.com/registration,https://harriscountytx.bonfirehub.com/portal/?tab=openOpportunities,https://purchasing.harriscountytx.gov/,"Bonfire supplier registration; NIGP codes; Vendor Information Form and W-9 if awarded or vendor setup requested",seeded,Register/verify Harris County Bonfire profile and add METRO SBE proof where certifications are requested,Benjamin/Jie,2026-08-26,"Official purchasing homepage says Bonfire manages suppliers and online bids/proposals; registration is open and free; notifications are based on selected NIGP codes."
houston_metro,Metropolitan Transit Authority of Harris County METRO,transit_authority,Houston TX,https://www.ridemetro.org/about/business-to-business/procurement-opportunities,https://www.ridemetro.org/about/business-to-business/procurement-opportunities,https://ridemetro.sbdbe.com/,"METRO Ariba vendor registration; METRO SBE/DBE portal; small business assessment; GovSpend for small purchases; State of Texas HUB is separate",found_in_gmail,Complete METRO portal/account status review and SBE application follow-up,Benjamin/Jie,2026-06-28,"Found in Gmail thread 19e88d76bab525c8 from Alexander Sandoval."
katy_isd,Katy Independent School District,school_district,Katy TX,https://procurement.opengov.com/,https://procurement.opengov.com/,TBD,"OpenGov Procurement vendor portal; vendor list registration",found_in_gmail,Verify OpenGov/Katy ISD vendor account status,Benjamin,2026-06-29,"Found from OpenGov invitation Gmail messages 19aff01707eea5b6 and 19baf83304eb1100."
hcc,Houston City College / Houston Community College,community_college,Houston TX,https://www.hccs.edu/about-us/departments--offices/procurement-operations/,https://hccs.bonfirehub.com/portal/?tab=openOpportunities,https://www.hccs.edu/about-us/departments--offices/procurement-operations/small-business-development-program-sbdp/,"HCC Bonfire bidder registration; recognized small-business certification; W-9 and conflict-of-interest forms where requested",seeded,Create or verify HCC Bonfire bidder profile and map METRO SBE proof as recognized certification support,Benjamin/Jie,2026-08-28,"Older opportunity tracker target; official HCC procurement page links Register as a Bidder and SBDP page says register in HCC Bonfire portal."
lone_star_college,Lone Star College System,community_college,Houston TX,https://www.lonestar.edu/purchasing.htm,https://www.lonestar.edu/purchasing.htm,TBD,"LSCS web-based e-bid registration; iStar supplier registration; commodity/category notifications",seeded,Create or verify LSCS bidder/supplier profile and select matching commodity categories,Benjamin/Jie,2026-08-29,"Older opportunity tracker target; LSCS purchasing page says e-bid registration is free and used for electronic bid notifications/submissions."
san_jacinto_college,San Jacinto College,community_college,Houston TX,https://www.sanjac.edu/information-for/business-partners/doing-business-with-san-jac/,https://vendors.planetbids.com/portal/50031/bo/bo-search,TBD,"PlanetBids/Ionwave-style e-bidding registration; solicitation response profile; purchasing requirements",seeded,Create or verify San Jacinto e-bidding profile and document portal-specific registration evidence,Benjamin/Jie,2026-08-29,"Older opportunity tracker target; San Jacinto page points vendors to its e-bidding system and current public opportunities appear on the PlanetBids vendor portal."
hisd,Houston Independent School District,school_district,Houston TX,https://www.houstonisd.org/community-partnerships/purchasing-services,https://houstonisd.ionwave.net/Login.aspx,TBD,"IonWave E-Bidding registration; commodity code selections; solicitation notifications",seeded,Create or verify HISD IonWave profile and category selections,Benjamin/Jie,2026-08-30,"Older opportunity tracker target; HISD purchasing page says existing and prospective vendors must register in IonWave to respond to solicitations."
