portal_map_id,document_id,company_id,local_path,storage_status,document_portal,portal_project_id,portal_document_id,portal_category,portal_file_name,portal_drive_file_id,portal_download_route,needs_upload,source_of_truth,last_synced,sync_owner,notes
map_capability_master,capability_statement,metro_lecrown,docs/capability-statements/metro-lecrown-master.md,draft_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Deliverables,metro-lecrown-master-capability-statement.md,TBD,TBD,yes,local,TBD,Benjamin,"Upload to the Metro LeCrown certification tracker portal workspace."
map_capability_city,capability_statement,metro_lecrown,docs/capability-statements/metro-lecrown-city-houston-draft.md,draft_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Deliverables,metro-lecrown-city-houston-capability-statement.md,TBD,TBD,yes,local,TBD,Benjamin,"Buyer-specific version for City of Houston and OBO packet support."
map_capability_metro,capability_statement,metro_lecrown,docs/capability-statements/metro-lecrown-metro-draft.md,draft_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Deliverables,metro-lecrown-metro-capability-statement.md,TBD,TBD,yes,local,TBD,Benjamin,"Buyer-specific version for Houston METRO vendor/SBDBE positioning."
map_capability_universities,capability_statement,metro_lecrown,docs/capability-statements/metro-lecrown-universities-draft.md,draft_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Deliverables,metro-lecrown-universities-capability-statement.md,TBD,TBD,yes,local,TBD,Benjamin,"Buyer-specific version for University of Houston and University of Texas vendor profiles."
map_capability_tdcj,capability_statement,metro_lecrown,docs/capability-statements/metro-lecrown-tdcj-draft.md,draft_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Deliverables,metro-lecrown-tdcj-capability-statement.md,TBD,TBD,yes,local,TBD,Benjamin,"Buyer-specific version for TDCJ and Texas state solicitation positioning."
map_pnw_jie,personal_net_worth_jie,metro_lecrown,output/pdf/PNW_Jie_Huang_FINAL.pdf,existing_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,PNW_Jie_Huang_FINAL.pdf,TBD,TBD,conditional,local,TBD,Benjamin/Jie,"Sensitive owner financial document; upload only to the exact portal/project that requires it."
map_pnw_benjamin,personal_net_worth_benjamin,metro_lecrown,output/pdf/PNW_Benjamin_LaGrone_FINAL.pdf,existing_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,PNW_Benjamin_LaGrone_FINAL.pdf,TBD,TBD,conditional,local,TBD,Benjamin,"Sensitive owner financial document; upload only if required based on ownership or certification."
map_affidavit_jie,affidavit_certification_jie,metro_lecrown,output/pdf/Affidavit_of_Certification_Jie_Huang_President.pdf,existing_local,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,Affidavit_of_Certification_Jie_Huang_President.pdf,TBD,TBD,yes,local,TBD,Benjamin/Jie,"Reusable support document for Houston OBO and related local certification packet."
map_metro_sbe_certificate,metro_sbe_certificate,metro_lecrown,Google Drive file ID 1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,existing_drive,lecrown_portal,metro-lecrown-certification-tracker,TBD,Certifications,lecrownSBEMetro.pdf,1vC1t1WJDdOjOKBfp6q_qN47MtQiOlcEi,TBD,yes,drive,2026-08-22,Benjamin/Jie,"Recent private Google Drive upload found 2026-08-22; sync into the LeCrown portal and replace TBD with the portal document ID."
map_w9,w9,metro_lecrown,.local/,missing_private,lecrown_portal,metro-lecrown-certification-tracker,TBD,Assets,TBD,TBD,TBD,yes,private_local,TBD,Benjamin,"Create or locate current W-9; track exact private path only when safe."
